id,agCode,agName,agType,city,state,year,month,incident,crimeType,crimeSolved,vSex,vAge,vRace,vEthnicity,pSex,pAge,pRace,pEthnicity,relationship,weapon,vCount,pCount,recordSource
402433,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,January,1,Murder or Manslaughter,Yes,Female,25,Black,Unknown,Male,28,Black,Unknown,Wife,Handgun,0,0,FBI
402434,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,January,2,Murder or Manslaughter,Yes,Female,31,White,Unknown,Male,18,Native American/Alaska Native,Unknown,Unknown,Handgun,0,1,FBI
402435,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,January,3,Manslaughter by Negligence,Yes,Male,1,Asian/Pacific Islander,Unknown,Male,12,Asian/Pacific Islander,Unknown,Family,Blunt Object,0,0,FBI
402436,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,February,1,Manslaughter by Negligence,Yes,Male,0,Asian/Pacific Islander,Unknown,Female,39,Asian/Pacific Islander,Unknown,Acquaintance,Blunt Object,0,0,FBI
402437,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,March,1,Murder or Manslaughter,No,Female,29,Native American/Alaska Native,Unknown,Unknown,0,Unknown,Unknown,Unknown,Knife,0,0,FBI
402438,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,April,1,Murder or Manslaughter,No,Male,0,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Blunt Object,0,0,FBI
402439,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,April,2,Murder or Manslaughter,Yes,Male,32,White,Unknown,Male,39,White,Unknown,Stranger,Rifle,0,2,FBI
402440,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,May,1,Murder or Manslaughter,Yes,Male,30,White,Unknown,Male,20,White,Unknown,Stranger,Handgun,0,4,FBI
402441,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,June,1,Murder or Manslaughter,Yes,Male,2,White,Unknown,Male,20,White,Unknown,Acquaintance,Blunt Object,0,0,FBI
402442,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,July,1,Murder or Manslaughter,Yes,Male,21,White,Unknown,Male,21,Black,Unknown,Acquaintance,Handgun,0,0,FBI
402443,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,August,1,Murder or Manslaughter,No,Female,59,Native American/Alaska Native,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
402444,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,September,1,Murder or Manslaughter,Yes,Female,33,Native American/Alaska Native,Unknown,Male,20,White,Unknown,Stranger,Blunt Object,0,0,FBI
402445,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,October,1,Manslaughter by Negligence,Yes,Male,3,White,Unknown,Male,19,Native American/Alaska Native,Unknown,Acquaintance,Blunt Object,0,0,FBI
402446,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,November,1,Murder or Manslaughter,No,Male,40,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402447,AK00101,Anchorage,Municipal Police,Anchorage,Alaska,2000,November,2,Manslaughter by Negligence,Yes,Male,3,White,Unknown,Female,23,White,Unknown,Son,Drowning,0,0,FBI
402448,AK00102,Fairbanks,Municipal Police,Fairbanks North Star,Alaska,2000,February,1,Murder or Manslaughter,Yes,Male,74,White,Unknown,Male,55,Black,Unknown,Unknown,Blunt Object,0,0,FBI
402449,AK00102,Fairbanks,Municipal Police,Fairbanks North Star,Alaska,2000,November,1,Murder or Manslaughter,Yes,Male,23,Native American/Alaska Native,Unknown,Male,20,Native American/Alaska Native,Unknown,Friend,Knife,0,0,FBI
402450,AK00111,Wrangell,Municipal Police,Wrangell-Petersburg,Alaska,2000,March,1,Murder or Manslaughter,Yes,Male,45,Native American/Alaska Native,Unknown,Male,22,White,Unknown,Acquaintance,Fall,0,0,FBI
402451,AK00145,Craig,Municipal Police,Prince of Wales-Outer Ketchikan,Alaska,2000,September,1,Murder or Manslaughter,No,Male,28,Native American/Alaska Native,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
402452,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,July,1,Murder or Manslaughter,No,Female,35,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,1,1,FBI
402453,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,January,1,Murder or Manslaughter,No,Male,48,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Rifle,0,0,FBI
402454,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,January,2,Manslaughter by Negligence,Yes,Male,9,Native American/Alaska Native,Unknown,Male,8,Native American/Alaska Native,Unknown,Friend,Rifle,0,0,FBI
402455,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,January,3,Manslaughter by Negligence,Yes,Male,38,White,Unknown,Male,44,White,Unknown,Friend,Rifle,0,0,FBI
402456,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,February,1,Murder or Manslaughter,Yes,Male,43,White,Unknown,Male,57,White,Unknown,Unknown,Rifle,0,0,FBI
402457,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,February,2,Manslaughter by Negligence,Yes,Male,36,Native American/Alaska Native,Unknown,Male,20,Native American/Alaska Native,Unknown,Family,Poison,0,0,FBI
402458,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,March,1,Murder or Manslaughter,Yes,Male,19,White,Unknown,Male,22,White,Unknown,Unknown,Blunt Object,0,0,FBI
402459,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,March,2,Manslaughter by Negligence,Yes,Male,19,Native American/Alaska Native,Unknown,Male,41,Native American/Alaska Native,Unknown,Friend,Handgun,0,0,FBI
402460,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,July,1,Murder or Manslaughter,No,Male,34,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,1,1,FBI
402461,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,July,2,Manslaughter by Negligence,No,Male,52,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Suffocation,0,0,FBI
402462,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,August,1,Murder or Manslaughter,No,Male,27,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
402463,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,September,1,Manslaughter by Negligence,No,Male,47,Native American/Alaska Native,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
402464,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,September,2,Manslaughter by Negligence,Yes,Male,38,White,Unknown,Male,0,White,Unknown,Unknown,Rifle,0,0,FBI
402465,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,October,1,Murder or Manslaughter,Yes,Male,48,Native American/Alaska Native,Unknown,Male,19,Native American/Alaska Native,Unknown,Stranger,Handgun,0,0,FBI
402466,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,December,1,Murder or Manslaughter,Yes,Male,22,Native American/Alaska Native,Unknown,Male,35,Native American/Alaska Native,Unknown,Family,Rifle,0,0,FBI
402467,AKASP00,Alaska State Police,State Police,Juneau,Alaska,2000,December,2,Murder or Manslaughter,Yes,Male,49,Native American/Alaska Native,Unknown,Male,22,White,Unknown,Acquaintance,Strangulation,0,0,FBI
402468,AL00100,Jefferson,Sheriff,Jefferson,Alabama,2000,December,1,Murder or Manslaughter,No,Male,99,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402469,AL00100,Jefferson,Sheriff,Jefferson,Alabama,2000,December,2,Murder or Manslaughter,No,Male,99,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402470,AL00100,Jefferson,Sheriff,Jefferson,Alabama,2000,December,3,Murder or Manslaughter,No,Female,99,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402471,AL00100,Jefferson,Sheriff,Jefferson,Alabama,2000,December,4,Murder or Manslaughter,No,Male,99,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402472,AL00100,Jefferson,Sheriff,Jefferson,Alabama,2000,December,5,Murder or Manslaughter,Yes,Male,39,White,Unknown,Male,38,White,Unknown,Brother,Blunt Object,0,0,FBI
402473,AL00100,Jefferson,Sheriff,Jefferson,Alabama,2000,December,6,Murder or Manslaughter,Yes,Male,22,Black,Unknown,Male,26,Black,Unknown,Acquaintance,Handgun,0,0,FBI
402474,AL00100,Jefferson,Sheriff,Jefferson,Alabama,2000,December,7,Murder or Manslaughter,Yes,Male,25,Black,Unknown,Male,0,Black,Unknown,Unknown,Handgun,0,0,FBI
402475,AL00101,Bessemer,Municipal Police,Jefferson,Alabama,2000,December,1,Murder or Manslaughter,Yes,Male,72,White,Unknown,Male,0,Black,Unknown,Stranger,Handgun,0,0,FBI
402476,AL00101,Bessemer,Municipal Police,Jefferson,Alabama,2000,December,2,Murder or Manslaughter,Yes,Male,34,Black,Unknown,Male,46,Black,Unknown,Acquaintance,Rifle,0,0,FBI
402477,AL00101,Bessemer,Municipal Police,Jefferson,Alabama,2000,December,3,Murder or Manslaughter,Yes,Male,41,Black,Unknown,Male,60,White,Unknown,Stranger,Handgun,0,0,FBI
402478,AL00101,Bessemer,Municipal Police,Jefferson,Alabama,2000,December,4,Murder or Manslaughter,Yes,Male,51,Black,Unknown,Female,46,Black,Unknown,Common-Law Husband,Handgun,0,0,FBI
402479,AL00101,Bessemer,Municipal Police,Jefferson,Alabama,2000,December,5,Murder or Manslaughter,Yes,Male,13,Black,Unknown,Male,15,Black,Unknown,Acquaintance,Handgun,0,0,FBI
402480,AL00101,Bessemer,Municipal Police,Jefferson,Alabama,2000,December,6,Murder or Manslaughter,Yes,Male,44,Black,Unknown,Male,29,Black,Unknown,Acquaintance,Knife,0,0,FBI
402481,AL00104,Fairfield,Municipal Police,Jefferson,Alabama,2000,December,1,Murder or Manslaughter,Yes,Male,43,Black,Unknown,Male,48,Black,Unknown,In-Law,Handgun,0,0,FBI
402482,AL00112,Hoover,Municipal Police,Jefferson,Alabama,2000,December,1,Murder or Manslaughter,Yes,Female,25,Black,Unknown,Male,26,Black,Unknown,Girlfriend,Blunt Object,0,0,FBI
402483,AL00112,Hoover,Municipal Police,Jefferson,Alabama,2000,December,2,Murder or Manslaughter,Yes,Male,46,White,Unknown,Male,19,White,Unknown,Unknown,Knife,0,0,FBI
402484,AL00112,Hoover,Municipal Police,Jefferson,Alabama,2000,December,3,Murder or Manslaughter,Yes,Female,99,Unknown,Unknown,Male,25,Black,Unknown,Unknown,Handgun,0,0,FBI
402485,AL00113,Irondale,Municipal Police,Jefferson,Alabama,2000,December,1,Murder or Manslaughter,Yes,Male,32,Black,Unknown,Male,0,Black,Unknown,Unknown,Shotgun,0,0,FBI
402486,AL00119,Hueytown,Municipal Police,Jefferson,Alabama,2000,December,1,Murder or Manslaughter,No,Male,34,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402487,AL00119,Hueytown,Municipal Police,Jefferson,Alabama,2000,December,2,Murder or Manslaughter,No,Female,46,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
402488,AL00119,Hueytown,Municipal Police,Jefferson,Alabama,2000,December,3,Murder or Manslaughter,Yes,Male,27,Black,Unknown,Male,30,Black,Unknown,Acquaintance,Handgun,0,0,FBI
402489,AL00119,Hueytown,Municipal Police,Jefferson,Alabama,2000,December,4,Murder or Manslaughter,Yes,Male,43,Black,Unknown,Male,19,Black,Unknown,Father,Handgun,0,0,FBI
402490,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,January,1,Murder or Manslaughter,Yes,Male,24,White,Unknown,Male,19,White,Unknown,Stranger,Blunt Object,0,1,FBI
402491,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,February,1,Murder or Manslaughter,Yes,Male,19,White,Unknown,Male,18,White,Unknown,Acquaintance,Knife,0,1,FBI
402492,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,March,1,Murder or Manslaughter,No,Female,28,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
402493,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,April,1,Murder or Manslaughter,Yes,Male,37,Black,Unknown,Male,53,Black,Unknown,Family,Handgun,0,0,FBI
402494,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,May,1,Murder or Manslaughter,Yes,Male,36,Black,Unknown,Male,53,Black,Unknown,Friend,Shotgun,0,0,FBI
402495,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,September,1,Murder or Manslaughter,Yes,Female,44,Black,Unknown,Female,32,Black,Unknown,Family,Knife,0,0,FBI
402496,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,October,1,Murder or Manslaughter,Yes,Male,34,White,Unknown,Male,18,White,Unknown,Unknown,Rifle,0,0,FBI
402497,AL00200,Mobile,Sheriff,Mobile,Alabama,2000,November,1,Manslaughter by Negligence,Yes,Male,15,White,Unknown,Male,14,White,Unknown,Friend,Handgun,0,0,FBI
402498,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,1,Murder or Manslaughter,Yes,Male,41,Black,Unknown,Female,48,Black,Unknown,Common-Law Husband,Knife,0,0,FBI
402499,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,2,Murder or Manslaughter,Yes,Female,2,Black,Unknown,Male,22,Black,Unknown,Daughter,Blunt Object,0,0,FBI
402500,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,3,Murder or Manslaughter,Yes,Male,44,White,Unknown,Male,25,Black,Unknown,Acquaintance,Handgun,0,0,FBI
402501,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,4,Murder or Manslaughter,Yes,Male,43,White,Unknown,Male,38,White,Unknown,Unknown,Blunt Object,0,0,FBI
402502,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,5,Murder or Manslaughter,Yes,Male,72,White,Unknown,Male,34,White,Unknown,Father,Blunt Object,0,0,FBI
402503,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,6,Murder or Manslaughter,No,Female,45,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
402504,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,7,Murder or Manslaughter,No,Male,29,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402505,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,8,Murder or Manslaughter,Yes,Female,38,White,Unknown,Male,36,White,Unknown,Girlfriend,Handgun,0,0,FBI
402506,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,9,Murder or Manslaughter,Yes,Male,23,Black,Unknown,Male,32,Black,Unknown,Unknown,Handgun,0,0,FBI
402507,AL00201,Mobile,Municipal Police,Mobile,Alabama,2000,December,10,Murder or Manslaughter,Yes,Male,24,Black,Unknown,Male,45,Black,Unknown,Acquaintance,Rifle,0,0,FBI
